Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Soil nutrient budget","14","Barbados","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","34.5624","Fc","Calculated data"
"ESB","Soil nutrient budget","14","Barbados","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","4.3203","Fc","Calculated data"
"ESB","Soil nutrient budget","14","Barbados","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","194.868","Fc","Calculated data"
"ESB","Soil nutrient budget","14","Barbados","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","24.3585","Fc","Calculated data"
"ESB","Soil nutrient budget","14","Barbados","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","4.32","Fc","Calculated data"
"ESB","Soil nutrient budget","14","Barbados","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","0.54","Fc","Calculated data"
"ESB","Soil nutrient budget","57","Belarus","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","404895","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"ESB","Soil nutrient budget","57","Belarus","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","69.5337","Fc","Calculated data"
"ESB","Soil nutrient budget","57","Belarus","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","194530.3132","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","57","Belarus","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","33.4072","Fc","Calculated data"
"ESB","Soil nutrient budget","57","Belarus","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","44450.01","Fc","Calculated data"
"ESB","Soil nutrient budget","57","Belarus","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","7.6335","Fc","Calculated data"
"ESB","Soil nutrient budget","57","Belarus","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","143762.4611","Fc","Calculated data"
"ESB","Soil nutrient budget","57","Belarus","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","24.6887","Fc","Calculated data"
"ESB","Soil nutrient budget","57","Belarus","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","10105.06","Fc","Calculated data"
"ESB","Soil nutrient budget","57","Belarus","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","1.7354","Fc","Calculated data"
"ESB","Soil nutrient budget","255","Belgium","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","170448.15","Fm","Manual Estimation"
"ESB","Soil nutrient budget","255","Belgium","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","195.0208","Fc","Calculated data"
"ESB","Soil nutrient budget","255","Belgium","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","141863.1388","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","255","Belgium","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","162.3148","Fc","Calculated data"
"ESB","Soil nutrient budget","255","Belgium","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","15599.0964","Fc","Calculated data"
"ESB","Soil nutrient budget","255","Belgium","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","17.8479","Fc","Calculated data"
"ESB","Soil nutrient budget","255","Belgium","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","75275.8389","Fc","Calculated data"
"ESB","Soil nutrient budget","255","Belgium","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","86.128","Fc","Calculated data"
"ESB","Soil nutrient budget","255","Belgium","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","466.05","Fc","Calculated data"
"ESB","Soil nutrient budget","255","Belgium","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","0.5332","Fc","Calculated data"
"ESB","Soil nutrient budget","23","Belize","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","10704.38","Fb","Data obtained as a balance"
"ESB","Soil nutrient budget","23","Belize","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","87.7408","Fc","Calculated data"
"ESB","Soil nutrient budget","23","Belize","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","981.7122","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","23","Belize","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","8.0468","Fc","Calculated data"
"ESB","Soil nutrient budget","23","Belize","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","651.724","Fc","Calculated data"
"ESB","Soil nutrient budget","23","Belize","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","5.342","Fc","Calculated data"
"ESB","Soil nutrient budget","23","Belize","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","6659.5462","Fc","Calculated data"
"ESB","Soil nutrient budget","23","Belize","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","54.5864","Fc","Calculated data"
"ESB","Soil nutrient budget","23","Belize","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","1280.98","Fc","Calculated data"
"ESB","Soil nutrient budget","23","Belize","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","10.4998","Fc","Calculated data"
"ESB","Soil nutrient budget","53","Benin","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","48059.06","Fb","Data obtained as a balance"
"ESB","Soil nutrient budget","53","Benin","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","14.135","Fc","Calculated data"
"ESB","Soil nutrient budget","53","Benin","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","14238.8944","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","53","Benin","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","4.1879","Fc","Calculated data"
"ESB","Soil nutrient budget","53","Benin","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","27657.64","Fc","Calculated data"
