Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","87","Guadeloupe","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","215.076","X","International reliable sources",""
"OA","Annual population","87","Guadeloupe","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6.855","X","International reliable sources",""
"OA","Annual population","87","Guadeloupe","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","442.318","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","89","Guatemala","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17247.849","X","International reliable sources",""
"OA","Annual population","89","Guatemala","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","8492.956","X","International reliable sources",""
"OA","Annual population","89","Guatemala","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","8754.899","X","International reliable sources",""
"OA","Annual population","89","Guatemala","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","8440.97","X","International reliable sources",""
"OA","Annual population","89","Guatemala","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","8804.376","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","91","Guyana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","779.006","X","International reliable sources",""
"OA","Annual population","91","Guyana","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","390.999","X","International reliable sources",""
"OA","Annual population","91","Guyana","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","388.008","X","International reliable sources",""
"OA","Annual population","91","Guyana","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","574.102","X","International reliable sources",""
"OA","Annual population","91","Guyana","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","208.123","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","93","Haiti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11123.178","X","International reliable sources",""
"OA","Annual population","93","Haiti","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5489.045","X","International reliable sources",""
"OA","Annual population","93","Haiti","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5634.138","X","International reliable sources",""
"OA","Annual population","93","Haiti","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","4969.937","X","International reliable sources",""
"OA","Annual population","93","Haiti","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6143.008","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","95","Honduras","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9587.522","X","International reliable sources",""
"OA","Annual population","95","Honduras","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","4789.031","X","International reliable sources",""
"OA","Annual population","95","Honduras","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","4798.492","X","International reliable sources",""
"OA","Annual population","95","Honduras","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","4040.365","X","International reliable sources",""
"OA","Annual population","95","Honduras","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","5376.802","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","109","Jamaica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2934.847","X","International reliable sources",""
"OA","Annual population","109","Jamaica","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","1457.453","X","International reliable sources",""
"OA","Annual population","109","Jamaica","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","1477.4","X","International reliable sources",""
"OA","Annual population","109","Jamaica","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1284.862","X","International reliable sources",""
"OA","Annual population","109","Jamaica","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1613.815","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","135","Martinique","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","375.673","X","International reliable sources",""
"OA","Annual population","135","Martinique","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","173.293","X","International reliable sources",""
"OA","Annual population","135","Martinique","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","202.379","X","International reliable sources",""
"OA","Annual population","135","Martinique","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","42.167","X","International reliable sources",""
"OA","Annual population","135","Martinique","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","342.898","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","138","Mexico","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","126190.788","X","International reliable sources",""
"OA","Annual population","138","Mexico","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","61720.819","X","International reliable sources",""
"OA","Annual population","138","Mexico","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","64469.963","X","International reliable sources",""
"OA","Annual population","138","Mexico","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","25947.576","X","International reliable sources",""
"OA","Annual population","138","Mexico","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","104811.498","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","142","Montserrat","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4.993","X","International reliable sources",""
"OA","Annual population","142","Montserrat","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","4.731","X","International reliable sources",""
"OA","Annual population","142","Montserrat","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","0.472","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","151","Netherlands Antilles (former)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","277.483","A","Aggregate, may include official, semi-official, estimated or calculated data",""
